freq,deg_urb,coicop,unit,geo\TIME_PERIOD	1988 	1994 	1999 	2005 	2010 	2015 	2020 
A,DEG1,CP01,PM,AT	: 	: 	115 	121 	116 	116 	120 
A,DEG1,CP01,PM,BE	169 	119 	132 	134 	131 	129 	158 
A,DEG1,CP01,PM,BG	: 	: 	: 	250 	240 	231 	214 
A,DEG1,CP01,PM,CY	: 	: 	: 	140 	114 	140 	140 e
A,DEG1,CP01,PM,CZ	: 	: 	: 	194 	189 	200 	186 
A,DEG1,CP01,PM,DE	147 	131 	: 	110 	115 	115 	113 
A,DEG1,CP01,PM,DK	: 	141 	131 	121 	118 	125 	123 
A,DEG1,CP01,PM,EA	: 	: 	: 	142 u	139 i	: 	: 
A,DEG1,CP01,PM,EA12	: 	: 	: 	142 u	137 i	: 	: 
A,DEG1,CP01,PM,EA13	: 	: 	: 	142 u	137 i	: 	: 
A,DEG1,CP01,PM,EA17	: 	: 	: 	: 	138 i	: 	: 
A,DEG1,CP01,PM,EA18	: 	: 	: 	: 	139 i	: 	: 
A,DEG1,CP01,PM,EA20	: 	: 	: 	: 	: 	: 	144 
A,DEG1,CP01,PM,EE	: 	: 	: 	209 	215 	188 	178 
A,DEG1,CP01,PM,EEA28	: 	: 	: 	146 e	143 i	: 	: 
A,DEG1,CP01,PM,EEA30_2007	: 	: 	: 	: 	144 i	: 	: 
A,DEG1,CP01,PM,EFTA	: 	: 	: 	111 u	112 u	: 	: 
A,DEG1,CP01,PM,EL	188 	: 	: 	141 	150 	182 	189 
A,DEG1,CP01,PM,ES	: 	210 	170 	165 	135 	143 	160 
A,DEG1,CP01,PM,EU15	: 	: 	: 	133 u	134 i	: 	: 
A,DEG1,CP01,PM,EU25	: 	: 	: 	146 e	143 i	: 	: 
A,DEG1,CP01,PM,EU27_2007	: 	: 	: 	148 u	145 i	: 	: 
A,DEG1,CP01,PM,EU27_2020	: 	: 	: 	: 	: 	151 	157 e
A,DEG1,CP01,PM,FI	: 	151 	133 	116 	128 	113 	133 
A,DEG1,CP01,PM,FR	198 	: 	141 	139 	143 	135 	135 e
A,DEG1,CP01,PM,HR	: 	: 	: 	233 	229 	219 	194 
A,DEG1,CP01,PM,HU	: 	: 	: 	193 	152 	168 	157 
A,DEG1,CP01,PM,IE	: 	: 	128 	: 	107 	104 	107 
A,DEG1,CP01,PM,IT	237 	211 	184 	180 	181 	169 	184 
A,DEG1,CP01,PM,LT	: 	: 	: 	267 	231 	199 	199 
A,DEG1,CP01,PM,LU	131 	: 	96 	98 	89 	86 	87 
A,DEG1,CP01,PM,LV	: 	: 	: 	258 	239 	224 	183 
A,DEG1,CP01,PM,MT	: 	: 	: 	: 	220 	194 	194 e
A,DEG1,CP01,PM,NL	: 	: 	: 	: 	99 	104 	116 
A,DEG1,CP01,PM,NO	: 	: 	: 	111 	112 	108 	113 
A,DEG1,CP01,PM,PL	: 	: 	: 	221 	199 	186 	221 
A,DEG1,CP01,PM,PT	271 	187 	167 	140 	121 	135 	115 
A,DEG1,CP01,PM,RO	: 	: 	: 	: 	: 	248 	237 
A,DEG1,CP01,PM,SE	: 	174 	140 	96 	119 	116 	: 
A,DEG1,CP01,PM,SI	: 	: 	: 	139 	130 	127 	119 
A,DEG1,CP01,PM,SK	: 	: 	: 	220 	197 	179 	184 
A,DEG1,CP01,PM,UK	117 	132 	103 	97 	124 	119 	: 
A,DEG1,CP01,PM,XK	: 	: 	: 	: 	: 	437 	: 
A,DEG1,CP011,PM,AT	: 	: 	103 	108 	103 	102 	106 
A,DEG1,CP011,PM,BE	156 	105 	119 	121 	120 	116 	143 
A,DEG1,CP011,PM,BG	: 	: 	: 	237 	228 	217 	201 
A,DEG1,CP011,PM,CY	: 	: 	: 	113 	101 	125 	125 e
A,DEG1,CP011,PM,CZ	: 	: 	: 	173 	171 	182 	171 
A,DEG1,CP011,PM,DE	: 	113 	: 	99 	103 	104 	103 
A,DEG1,CP011,PM,DK	: 	125 	116 	108 	107 	114 	112 
A,DEG1,CP011,PM,EA	: 	: 	: 	132 u	128 i	: 	: 
A,DEG1,CP011,PM,EA12	: 	: 	: 	132 u	127 i	: 	: 
A,DEG1,CP011,PM,EA13	: 	: 	: 	132 u	127 i	: 	: 
A,DEG1,CP011,PM,EA17	: 	: 	: 	: 	128 i	: 	: 
A,DEG1,CP011,PM,EA18	: 	: 	: 	: 	128 i	: 	: 
A,DEG1,CP011,PM,EE	: 	: 	: 	193 	199 	170 	163 
A,DEG1,CP011,PM,EEA28	: 	: 	: 	135 e	131 i	: 	: 
A,DEG1,CP011,PM,EEA30_2007	: 	: 	: 	: 	133 i	: 	: 
A,DEG1,CP011,PM,EFTA	: 	: 	: 	100 u	101 u	: 	: 
A,DEG1,CP011,PM,EL	181 	: 	: 	133 	141 	173 	179 
A,DEG1,CP011,PM,ES	: 	199 	160 	156 	125 	132 	149 
A,DEG1,CP011,PM,EU15	: 	: 	: 	123 u	124 i	: 	: 
A,DEG1,CP011,PM,EU25	: 	: 	: 	135 e	132 i	: 	: 
A,DEG1,CP011,PM,EU27_2007	: 	: 	: 	137 u	133 i	: 	: 
A,DEG1,CP011,PM,FI	: 	139 	121 	107 	118 	104 	118 
A,DEG1,CP011,PM,FR	187 	: 	131 	129 	132 	125 	125 e
A,DEG1,CP011,PM,HR	: 	: 	: 	213 	211 	204 	180 
A,DEG1,CP011,PM,HU	: 	: 	: 	174 	138 	152 	143 
A,DEG1,CP011,PM,IE	: 	: 	113 	: 	97 	96 	97 
A,DEG1,CP011,PM,IT	221 	194 	169 	: 	173 	157 	170 
A,DEG1,CP011,PM,LT	: 	: 	: 	248 	214 	185 	185 
A,DEG1,CP011,PM,LU	120 	: 	86 	87 	79 	77 	78 
A,DEG1,CP011,PM,LV	: 	: 	: 	240 	222 	209 	170 
A,DEG1,CP011,PM,MT	: 	: 	: 	: 	194 	175 	175 e
A,DEG1,CP011,PM,NL	: 	: 	: 	: 	89 	93 	105 
A,DEG1,CP011,PM,NO	: 	: 	: 	100 	101 	96 	101 
A,DEG1,CP011,PM,PL	: 	: 	: 	202 	180 	168 	202 
A,DEG1,CP011,PM,PT	264 	181 	160 	133 	114 	126 	: 
A,DEG1,CP011,PM,RO	: 	: 	: 	: 	: 	230 	: 
A,DEG1,CP011,PM,SE	: 	0 	: 	88 	111 	107 	: 
A,DEG1,CP011,PM,SI	: 	: 	: 	126 	118 	116 	109 
A,DEG1,CP011,PM,SK	: 	: 	: 	199 	178 	163 	169 
A,DEG1,CP011,PM,UK	109 	120 	94 	89 	114 	109 	: 
A,DEG1,CP011,PM,XK	: 	: 	: 	: 	: 	354 	: 
A,DEG1,CP0111,PM,EEA28	: 	: 	: 	: 	17 u	: 	: 
A,DEG1,CP0111,PM,EEA30_2007	: 	: 	: 	: 	17 u	: 	: 
A,DEG1,CP0111,PM,EFTA	: 	: 	: 	: 	17 u	: 	: 
A,DEG1,CP0111,PM,NO	: 	: 	: 	: 	17 	: 	: 
A,DEG1,CP0112,PM,EEA28	: 	: 	: 	: 	21 u	: 	: 
A,DEG1,CP0112,PM,EEA30_2007	: 	: 	: 	: 	21 u	: 	: 
A,DEG1,CP0112,PM,EFTA	: 	: 	: 	: 	21 u	: 	: 
A,DEG1,CP0112,PM,NO	: 	: 	: 	: 	21 	: 	: 
A,DEG1,CP0113,PM,EEA28	: 	: 	: 	: 	7 u	: 	: 
A,DEG1,CP0113,PM,EEA30_2007	: 	: 	: 	: 	7 u	: 	: 
A,DEG1,CP0113,PM,EFTA	: 	: 	: 	: 	7 u	: 	: 
A,DEG1,CP0113,PM,NO	: 	: 	: 	: 	7 	: 	: 
A,DEG1,CP0114,PM,EEA28	: 	: 	: 	: 	17 u	: 	: 
A,DEG1,CP0114,PM,EEA30_2007	: 	: 	: 	: 	17 u	: 	: 
A,DEG1,CP0114,PM,EFTA	: 	: 	: 	: 	17 u	: 	: 
A,DEG1,CP0114,PM,NO	: 	: 	: 	: 	17 	: 	: 
A,DEG1,CP0115,PM,EEA28	: 	: 	: 	: 	2 u	: 	: 
A,DEG1,CP0115,PM,EEA30_2007	: 	: 	: 	: 	2 u	: 	: 
A,DEG1,CP0115,PM,EFTA	: 	: 	: 	: 	2 u	: 	: 
A,DEG1,CP0115,PM,NO	: 	: 	: 	: 	2 	: 	: 
A,DEG1,CP0116,PM,EEA28	: 	: 	: 	: 	9 u	: 	: 
A,DEG1,CP0116,PM,EEA30_2007	: 	: 	: 	: 	9 u	: 	: 
A,DEG1,CP0116,PM,EFTA	: 	: 	: 	: 	9 u	: 	: 
A,DEG1,CP0116,PM,NO	: 	: 	: 	: 	9 	: 	: 
A,DEG1,CP0117,PM,EEA28	: 	: 	: 	: 	11 u	: 	: 
A,DEG1,CP0117,PM,EEA30_2007	: 	: 	: 	: 	11 u	: 	: 
A,DEG1,CP0117,PM,EFTA	: 	: 	: 	: 	11 u	: 	: 
A,DEG1,CP0117,PM,NO	: 	: 	: 	: 	11 	: 	: 
A,DEG1,CP0118,PM,EEA28	: 	: 	: 	: 	10 u	: 	: 
A,DEG1,CP0118,PM,EEA30_2007	: 	: 	: 	: 	10 u	: 	: 
A,DEG1,CP0118,PM,EFTA	: 	: 	: 	: 	10 u	: 	: 
A,DEG1,CP0118,PM,NO	: 	: 	: 	: 	10 	: 	: 
A,DEG1,CP0119,PM,EEA28	: 	: 	: 	: 	6 u	: 	: 
A,DEG1,CP0119,PM,EEA30_2007	: 	: 	: 	: 	6 u	: 	: 
A,DEG1,CP0119,PM,EFTA	: 	: 	: 	: 	6 u	: 	: 
A,DEG1,CP0119,PM,NO	: 	: 	: 	: 	6 	: 	: 
A,DEG1,CP012,PM,AT	: 	: 	13 	13 	13 	14 	14 
A,DEG1,CP012,PM,BE	13 	14 	13 	14 	12 	13 	15 
A,DEG1,CP012,PM,BG	: 	: 	: 	13 	13 	14 	13 
A,DEG1,CP012,PM,CY	: 	: 	: 	13 	11 	13 	13 e
A,DEG1,CP012,PM,CZ	: 	: 	: 	20 	18 	18 	15 
A,DEG1,CP012,PM,DE	: 	18 	: 	11 	12 	11 	10 
A,DEG1,CP012,PM,DK	: 	16 	15 	12 	11 	11 	11 
A,DEG1,CP012,PM,EA	: 	: 	: 	11 u	11 i	: 	: 
A,DEG1,CP012,PM,EA12	: 	: 	: 	11 u	11 i	: 	: 
A,DEG1,CP012,PM,EA13	: 	: 	: 	11 u	11 i	: 	: 
A,DEG1,CP012,PM,EA17	: 	: 	: 	: 	11 i	: 	: 
